Date,Open,High,Low,Close,Adj Close,Volume,¼öÀÍ·ü
2017-11-06,703.200012,704.159973,699.75,703.789978,703.789978,595300.0,0.0037938370644972075
2017-11-07,704.830017,704.830017,697.440002,701.140015,701.140015,649900.0,-0.0037652752707997283
2017-11-08,702.690002,709.109985,701.52002,709.109985,709.109985,812400.0,0.01136715895469198
2017-11-09,710.710022,711.780029,705.280029,709.940002,709.940002,614800.0,0.0011705053060280246
2017-11-10,709.849976,720.789978,709.549988,720.789978,720.789978,599900.0,0.015282947811694036
2017-11-13,724.76001,741.380005,724.76001,741.380005,741.380005,687100.0,0.02856591743566117
2017-11-14,746.880005,756.460022,742.789978,756.460022,756.460022,837100.0,0.020340468987965155
2017-11-15,759.549988,773.049988,755.059998,768.030029,768.030029,944900.0,0.015294935176362934
2017-11-16,775.460022,780.219971,759.700012,780.219971,780.219971,897400.0,0.01587169972490754
2017-11-17,776.320007,779.570007,770.549988,775.849976,775.849976,767800.0,-0.0056009781374848355
2017-11-20,776.73999,785.320007,776.309998,785.320007,785.320007,834800.0,0.01220600798214111
2017-11-21,790.349976,793.599976,782.950012,789.380005,789.380005,809300.0,0.005169864467746699
2017-11-22,793.789978,796.280029,779.200012,780.900024,780.900024,894400.0,-0.010742583985263177
2017-11-23,778.840027,796.809998,773.320007,796.799988,796.799988,756200.0,0.020361075056132938
2017-11-24,797.969971,803.73999,792.73999,792.73999,792.73999,751800.0,-0.005095379092801777
2017-11-27,793.809998,800.039978,783.849976,792.799988,792.799988,735800.0,7.568433629789872e-05
2017-11-28,797.289978,797.530029,773.099976,773.119995,773.119995,891400.0,-0.024823402242533765
2017-11-29,776.75,783.190002,770.969971,781.719971,781.719971,754800.0,0.0111237273070397
2017-11-30,779.840027,782.419983,769.789978,771.419983,771.419983,1053600.0,-0.013176058412354363
2017-12-01,779.539978,788.150024,776.710022,787.700012,787.700012,883800.0,0.021103976249990497
2017-12-04,788.02002,788.460022,778.200012,782.450012,782.450012,821400.0,-0.006664973873327762
